identifier,address,chain,name,symbol,decimals,coingecko,cryptocompare,started,protocol
eip155:1/erc20:0xB6eD7644C69416d67B522e20bC294A9a9B405B31,0xB6eD7644C69416d67B522e20bC294A9a9B405B31,1,0xBitcoin,0xBTC,8,oxbitcoin,0XBTC,1517875200,
eip155:1/erc20:0x111111111117dC0aa78b770fA6A738034120C302,0x111111111117dC0aa78b770fA6A738034120C302,1,1INCH Token,1INCH,18,1inch,,1608747211,
eip155:1/erc20:0x0F72714B35a366285Df85886A2eE174601292A17,0x0F72714B35a366285Df85886A2eE174601292A17,1,1SG,1SG,18,1sg,,1545696000,
eip155:1/erc20:0xAf30D2a7E90d7DC361c8C4585e9BB7D2F6f15bc7,0xAf30D2a7E90d7DC361c8C4585e9BB7D2F6f15bc7,1,FirstBlood,1ST,18,first-blood,,1468022400,
eip155:1/erc20:0xfDBc1aDc26F0F8f8606a5d63b7D3a3CD21c22B23,0xfDBc1aDc26F0F8f8606a5d63b7D3a3CD21c22B23,1,1World,1WO,8,1world,,1512000000,
eip155:1/erc20:0xaEc98A708810414878c3BCDF46Aad31dEd4a4557,0xaEc98A708810414878c3BCDF46Aad31dEd4a4557,1,300 Token,300,18,,,1498694400,
eip155:1/erc20:0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,1,Aave Token,AAVE,18,aave,,1600970788,
eip155:1/erc20:0xB98d4C97425d9908E66E53A6fDf673ACcA0BE986,0xB98d4C97425d9908E66E53A6fDf673ACcA0BE986,1,Arcblock,ABT,18,arcblock,,1515196800,
eip155:1/erc20:0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6,0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6,1,The Abyss,ABYSS,18,the-abyss,,1511913600,
eip155:1/erc20:0x9A0aBA393aac4dFbFf4333B06c407458002C6183,0x9A0aBA393aac4dFbFf4333B06c407458002C6183,1,ACoconut ,AC,18,acoconut,,1601507639,
eip155:1/erc20:0x13F1b7FDFbE1fc66676D56483e21B1ecb40b58E2,0x13F1b7FDFbE1fc66676D56483e21B1ecb40b58E2,1,Accelerator Network,ACC,18,accelerator-network,ACCN,1507248000,
eip155:1/erc20:0x06147110022B768BA8F99A8f385df11a151A9cc8,0x06147110022B768BA8F99A8f385df11a151A9cc8,1,ACE (TokenStars),ACE,0,tokenstars-ace,,1509926400,
eip155:1/erc20:0x7bE00ed6796B21656732E8f739Fc1b8F1C53DA0D,0x7bE00ed6796B21656732E8f739Fc1b8F1C53DA0D,1,AC eXchange Token,ACXT,18,ac-exchange-token,ACXT,1602667438,
eip155:1/erc20:0xb3299d4BaB93Bf04d5b11bc49CD6DFAD1f77d23f,0xb3299d4BaB93Bf04d5b11bc49CD6DFAD1f77d23f,1,3X Short Cardano Token,ADABEAR,18,3x-short-cardano-token,,1580720441,
eip155:1/erc20:0x43dE1145Cd22f0a9Cc99e51c205e6e81161Df6B9,0x43dE1145Cd22f0a9Cc99e51c205e6e81161Df6B9,1,3X Long Cardano Token,ADABULL,18,3x-long-cardano-token,,1580720497,
eip155:1/erc20:0x2baac9330Cf9aC479D819195794d79AD0c7616e3,0x2baac9330Cf9aC479D819195794d79AD0c7616e3,1,adbank,ADB,18,adbank,,1510704000,
eip155:1/erc20:0x94d863173EE77439E4292284fF13fAD54b3BA182,0x94d863173EE77439E4292284fF13fAD54b3BA182,1,Akropolis Delphi,ADEL,18,akropolis-delphi,,1598950842,
eip155:1/erc20:0xE69a353b3152Dd7b706ff7dD40fe1d18b7802d31,0xE69a353b3152Dd7b706ff7dD40fe1d18b7802d31,1,AdHive,ADH,18,adhive,,1515456000,
eip155:1/erc20:0x8810C63470d38639954c6B41AaC545848C46484a,0x8810C63470d38639954c6B41AaC545848C46484a,1,Aditus,ADI,18,aditus,,1511395200,
eip155:1/erc20:0x660e71483785f66133548B10f6926dC332b06e61,0x660e71483785f66133548B10f6926dC332b06e61,1,Adelphoi,ADL,18,adelphoi,,1480982400,
eip155:1/erc20:0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,1,Adshares,ADST,0,adshares,ADS,1499171296,
eip155:1/erc20:0xD0D6D6C5Fe4a677D343cC433536BB717bAe167dD,0xD0D6D6C5Fe4a677D343cC433536BB717bAe167dD,1,adToken,ADT,9,adtoken,,1498435200,
eip155:1/erc20:0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,1,AdEx Network,ADX,18,adex,,1496102400,
eip155:1/erc20:0x4470BB87d77b963A013DB939BE332f927f2b992e,0x4470BB87d77b963A013DB939BE332f927f2b992e,1,AdEx,ADX,4,adex,,1496102400,
eip155:1/erc20:0xAE31b85Bfe62747d0836B82608B4830361a3d37a,0xAE31b85Bfe62747d0836B82608B4830361a3d37a,1,Aergo,AERGO,18,aergo,,1542844800,
eip155:1/erc20:0x8eB24319393716668D768dCEC29356ae9CfFe285,0x8eB24319393716668D768dCEC29356ae9CfFe285,1,SingularityNET,AGI,8,singularitynet,AGIX,1513296000,
eip155:1/erc20:0x37E8789bB9996CaC9156cD5F5Fd32599E6b91289,0x37E8789bB9996CaC9156cD5F5Fd32599E6b91289,1,AidCoin,AID,18,aidcoin,,1509580800,
eip155:1/erc20:0xD178b20c6007572bD1FD01D205cC20D32B4A6015,0xD178b20c6007572bD1FD01D205cC20D32B4A6015,1,AIDUS TOKEN,AID,18,aidus,AIDUS,1552002850,
eip155:1/erc20:0x27Dce1eC4d3f72C3E457Cc50354f1F975dDEf488,0x27Dce1eC4d3f72C3E457Cc50354f1F975dDEf488,1,Air token,AIR,8,,,1507161600,
