identifier,name,symbol,type,coingecko,cryptocompare,started
1CR,1 credit,1CR,own_chain,,,1398556800
2GIVE,2GIVE,2GIVE,own_chain,2give,,1460937600
ABBC,ABBC Coin,ABBC,own_chain,alibabacoin,,1520208000
ABY,ArtByte,ABY,own_chain,artbyte,,1398902400
AC,AsiaCoin,AC,own_chain,affil-coin,,1397952000
ACC,AdCoin,ACC,own_chain,,,1500336000
ADA,Cardano,ADA,own_chain,cardano,,1506643200
ADADOWN,Binance leveraged token ADADOWN,ADADOWN,own_chain,,,1594771200
ADAUP,Binance leveraged token ADAUP,ADAUP,own_chain,,,1594771200
ADK,Aidos Kuneen,ADK,own_chain,aidos-kuneen,,1537401600
ADN,Aiden,ADN,own_chain,aladdin,,1397520000
AE,Aeternity,AE,own_chain,aeternity,,1482969600
AEON,Aeon,AEON,own_chain,aeon,,1402012800
AM,AeroME,AM,own_chain,,,1420934400
AERO,Aerocoin,AERO,own_chain,,,1403395200
AION,Aion,AION,own_chain,aion,,1506556800
AIR-2,Air coin,AIR,own_chain,,AIR*,1395273600
AKT,Akash Network,AKT,own_chain,akash-network,akt,1601042400
ALGO,Algorand,ALGO,own_chain,algorand,,1560902400
ALQO,ALQO,ALQO,own_chain,alqo,XLQ,1509321600
ANK,AlphaLink,ANK,tron_token,alphalink,,1599004800
ANY,Anyswap,ANY,own_chain,anyswap,,1598400000
APH,Aphelion,APH,neo_token,,,1510693460
APX,APX,APX,ubiq_token,appics,,1492646400
AR,Arweave,AR,own_chain,arweave,,1590545046
ARB-2,ARbit,ARB,own_chain,arbit,ARB,1431043200
ARC,Advanced Technology Coin,ARC,own_chain,arcticcoin,,1406160000
ARCH,Archcoin,ARCH,own_chain,,,1412553600
ARDR,Ardor,ARDR,own_chain,ardor,,1469284805
ARK,Ark,ARK,own_chain,ark,,1476489600
ASR,AS Roma Fan Token,ASR,own_chain,as-roma-fan-token,,1592784000
ATOM,Cosmos,ATOM,own_chain,cosmos,,1552596249
ATX-2,Artex Coin,ATX,own_chain,artex-coin,ATX,1470096000
AUD,Australian Dollar,AUD,fiat,,,
NZD,New Zealand Dollar,NZD,fiat,,,
AUR,Auroracoin,AUR,own_chain,auroracoin,,1393479207
AVA,Travala.com,AVA,neo_token,concierge-io,AVALA,1527536681
AVAX,Avalanche,AVAX,own_chain,avalanche-2,,1600646400
BAN,Avalanche,BAN,own_chain,banano,,1538352000
BAY,BitBay,BAY,own_chain,bitbay,,1415318400
BBK-2,Bitblocks,BBK,own_chain,bitblocks-project,BBK,1517788800
BBR,Boolberry,BBR,own_chain,boolberry,,1400284800
BCD,Bitcoin Diamond,BCD,own_chain,bitcoin-diamond,,1511481600
BCH,Bitcoin Cash,BCH,own_chain,bitcoin-cash,,1501593374
BCN,Bytecoin,BCN,own_chain,bytecoin,,1341360000
BCY,BitCrystals,BCY,counterparty_token,bitcrystals,,1433203200
BEAM,Beam,BEAM,own_chain,beam,,1521072000
BET-2,BetaCoin,BET,own_chain,,BET,1382572800
